Year,Species,commercial catches,sc_cpue,sc_se_cpue,recreat catches Anglers50,recreat catches Anglers10,recreat catches Anglers90,recreat catches cpueUncert_min,recreat catches cpueUncertain_max,recreat catches_Alluncert_min,recreat catches_Alluncert_max
1991,roach,30,2.67,0,,,,,,,
1992,roach,35,2.04,0.37,,,,,,,
1993,roach,30,0.85,0.46,,,,,,,
1994,roach,29.31,0.21,0.75,,,,,,,
1995,roach,45.49,2.43,0.39,,,,,,,
1996,roach,53.91,1.36,0.57,,,,,,,
1997,roach,72.56,1.98,0.51,,,,,,,
1998,roach,81.34,1.45,0.72,,,,,,,
1999,roach,118.03,0.44,0.45,,,,,,,
2000,roach,84,0.19,0.57,,,,,,,
2001,roach,71.62,0.12,1.54,,,,,,,
2002,roach,91.11,0.67,0.47,,,,,,,
2003,roach,89.67,0.63,0.46,,,,,,,
2004,roach,162.65,0.43,0.59,,,,,,,
2005,roach,90.83,0.86,0.49,,,,,,,
2006,roach,79.29,0.31,0.64,,,,,,,
2007,roach,92.4,0.16,0.8,,,,,,,
2008,roach,84.14,0.53,0.46,,,,,,,
2009,roach,67.4,0.47,0.68,,,,,,,
2010,roach,54.63,0.54,0.72,,,,,,,
2011,roach,35.29,0.6,0.54,,,,,,,
2012,roach,26.67,0.76,0.43,,,,,,,
2013,roach,0,0.33,0.55,,,,,,,
2014,roach,0,0.19,0.4,,,,,,,
2015,roach,0,0.23,0.48,,,,,,,
2016,roach,0,1.14,0.34,,,,,,,
2017,roach,0,1.38,0.34,,,,,,,
2018,roach,0,2.68,0.33,,,,,,,
2019,roach,0,2.21,0.34,,,,,,,
2020,roach,0,1.79,0.35,,,,,,,
2021,roach,0,1.32,0.36,3.38,2.25,5.29,1.98,5.39,1.32,8.45
1991,perch,0.14,2.07,0,,,,,,,
1992,perch,0.13,2.65,0.44,,,,,,,
1993,perch,0.13,0.82,0.56,,,,,,,
1994,perch,0.09,0.17,0.87,,,,,,,
1995,perch,0.06,1.62,0.49,,,,,,,
1996,perch,0.15,0.88,0.6,,,,,,,
1997,perch,0.28,1.94,0.52,,,,,,,
1998,perch,0.28,0.32,2.32,,,,,,,
1999,perch,0.54,1.31,0.49,,,,,,,
2000,perch,0.43,0.54,0.62,,,,,,,
2001,perch,0.32,0.73,0.89,,,,,,,
2002,perch,0.76,2.85,0.46,,,,,,,
2003,perch,0.65,0.77,0.55,,,,,,,
2004,perch,0.86,0.87,0.57,,,,,,,
2005,perch,0.64,0.11,1.1,,,,,,,
2006,perch,1,1.01,0.56,,,,,,,
2007,perch,0.64,0.59,0.82,,,,,,,
2008,perch,0.58,0.74,0.47,,,,,,,
2009,perch,0.44,0.52,0.61,,,,,,,
2010,perch,0.18,1.06,0.55,,,,,,,
